Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_404,667.1900562101781,M5,6371000.0,5.972e+24,100000.0,1617.1098548163175,0.2654253998711008,0.03433383734237891,0.666,300.097,Success
run_405,1641.7948106063047,M5,6371000.0,5.972e+24,100000.0,382.12303900823025,1.9257436376879542,0.0834567758344033,0.666,374.502,Success
run_407,934.6377523359765,M5,6371000.0,5.972e+24,100000.0,149.99755522964136,1.360101665277153,0.45364383918455314,0.666,323.547,Success
run_406,1780.7191495344919,M5,6371000.0,5.972e+24,100000.0,289.49911309696927,407.79848288414337,0.08724921811586779,0.666,383.992,Success
run_408,1426.5193875477466,M5,6371000.0,5.972e+24,100000.0,30232.22227013816,14172.849123560216,0.3180711655782464,0.666,371.644,Success
run_409,338.1608533129155,M5,6371000.0,5.972e+24,100000.0,1.6477057791024443,2965.7635173357485,0.08568223660515994,0.666,254.794,Success
run_410,254.52687382948693,M5,6371000.0,5.972e+24,100000.0,2639.6524467218205,12.673684439444951,0.2754715187218117,0.666,235.477,Success
run_411,731.7897896095989,M5,6371000.0,5.972e+24,100000.0,57.27838245670694,43.64394121655911,0.12405355649512739,0.666,305.44,Success
run_412,243.2389161512614,M5,6371000.0,5.972e+24,100000.0,314.6303220311111,167.38597821325155,0.36513104034928096,0.666,231.492,Success
run_413,1521.2376172554154,M5,6371000.0,5.972e+24,100000.0,305.32654206174124,0.4873251160550431,0.035944809409079626,0.666,367.322,Success
run_415,209.9839774566583,M5,6371000.0,5.972e+24,100000.0,107.88317555762714,0.38048795104052596,0.2564746459759805,0.666,223.212,Success
run_414,1490.5413642194098,M5,6371000.0,5.972e+24,100000.0,1350.2187127076895,11.621061310880243,0.37358667745108515,0.666,364.789,Success
run_416,354.3165639534333,M5,6371000.0,5.972e+24,100000.0,6.700801052362756,15.226589615718996,0.4835731884897355,0.666,253.725,Success
run_417,1768.8272265823143,M5,6371000.0,5.972e+24,100000.0,66.60414392862445,696.5842047488254,0.2080840930786911,0.666,382.593,Success
run_418,395.5741038145111,M5,6371000.0,5.972e+24,100000.0,40151.54011711,76230.70031197235,0.008749420284881598,0.666,280.845,Success
run_419,1451.8189203707484,M5,6371000.0,5.972e+24,100000.0,1669.9687979321047,24076.46037880223,0.4509767343455891,0.666,369.013,Success
run_421,1069.357479758885,M5,6371000.0,5.972e+24,100000.0,4.722122914731832,35.68533252550934,0.1331205129386118,0.666,335.471,Success
run_420,1957.9931783864956,M5,6371000.0,5.972e+24,100000.0,1.513734017971558,1497.495516655461,0.11679168428062223,0.666,393.558,Success
run_422,655.1229380269331,M5,6371000.0,5.972e+24,100000.0,205.73077907325816,371.2881895782347,0.09428052186074637,0.666,298.577,Success
run_423,182.83070999788342,M5,6371000.0,5.972e+24,100000.0,0.6012658240444577,0.3676902416054007,0.0964383184833977,0.666,215.363,Success
run_426,1255.0626797711018,M5,6371000.0,5.972e+24,100000.0,3.9834644784299886,5.456643185702283,0.24380563372755407,0.666,348.709,Success
run_425,427.95029206246903,M5,6371000.0,5.972e+24,100000.0,0.12873905531878976,72574.06759542618,0.0980507724913093,0.666,277.894,Success
run_424,729.2757861028363,M5,6371000.0,5.972e+24,100000.0,2041.952723036231,12859.484874699157,0.21911850788753942,0.666,313.436,Success
run_427,1819.8785992992825,M5,6371000.0,5.972e+24,100000.0,101.68844599366446,344.3654026512103,0.25206113908882943,0.666,384.341,Success
run_429,1392.0518222408177,M5,6371000.0,5.972e+24,100000.0,160.11667941880805,24.749114470147486,0.2806935988199475,0.666,358.383,Success
run_428,1377.77100363004,M5,6371000.0,5.972e+24,100000.0,500.76908382444736,0.27374661860292016,0.27580101207742835,0.666,357.73,Success
run_430,1383.8781833172986,M5,6371000.0,5.972e+24,100000.0,18.28855465835642,17.059605570267795,0.0011959116033871025,0.666,357.993,Success
run_431,164.76951702624064,M5,6371000.0,5.972e+24,100000.0,39042.78676373509,0.15662561549850038,0.020866814734783044,0.666,213.707,Success
run_432,1159.1220880202172,M5,6371000.0,5.972e+24,100000.0,72.02218618412753,11348.775945372125,0.3527640208721648,0.666,347.327,Success
run_433,972.4984173076239,M5,6371000.0,5.972e+24,100000.0,30550.996649650016,0.10743021018589767,0.38615189605915845,0.666,331.375,Success
run_434,1884.5588365730612,M5,6371000.0,5.972e+24,100000.0,1.843154399193817,53.68885314907815,0.22052179996371535,0.666,386.42,Success
run_436,398.093646757798,M5,6371000.0,5.972e+24,100000.0,2.752155979634515,0.15161869247294288,0.3233406770413625,0.666,261.552,Success
run_435,1799.3317622955724,M5,6371000.0,5.972e+24,100000.0,18164.99636705914,9.120460967088013,0.43476567027672697,0.666,384.71,Success
run_437,1101.574097144562,M5,6371000.0,5.972e+24,100000.0,1.0867247819965236,149.86646886650294,0.4713181225319298,0.666,336.796,Success
